Name,Price,Adress,img_link
Chiots Pitbull,250000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png
Caniche bichons maltais,190000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png
Chiot Boerboel,450000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg
Pitbull Red Nose,220000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png
Caniche bichons maltais,190000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png
Chiots bergers allemands,200000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4176841_uploaded_image1_1681482623.jpg
Pitbull black nose,250000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png
Chiot Cane Corso,800000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png
Boerboel femelle,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots akita américain,990000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png
Chiot berger allemand,200000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png
Chien Rottweiler,375000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png
Chiots Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg
Chien Pittbull,350000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3474335_uploaded_image1_1638955282.jpg
Chiots Berger Allemand de race pure,125000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png
Chiot Berger allemand,300000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4396584_uploaded_image1_1696077607.jpg
Bichons malté,180000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien Pitbull,150000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png
Chiots shih tzu,250000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg
Chiots Berger Allemand,350000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg
Chiots Dalmatiens,450000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png
Chiots husky sibérien - dog argentin - cane corso,350000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiot Caniche,140000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4546796_uploaded_image1_1705343315.jpg
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiots akita américain,990000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png
Chiots Spitz nain Pomeranian,1900000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg
Doberman,400000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png
Chiot berger belge malinois,175000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png
Cani corso,600000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png
Chien Bichon,150000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg
Doberman pure souche,350000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiot,100,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg
Métisse chiots rottweiler,50000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png
Chiens Malinois,300000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png
Chiots Pitbull,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg
Femelles  métisse rock / 4 chiennes,50000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg
Chiot Berger Allemand,250000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg
Chiot Can Corso,300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg
Berger malinois charboné,300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg
Chiots Berger Amstaff,130000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg
Chiots Yorkshire/caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg
Chiots rockweile,290000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien,65000,"Gibraltar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg
Chiot  Berger Allemand,200000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg
Berger allemand pur sang,150000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg
Berger allemand pur sang,150000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg
Chiot Berger Allemand,500000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg
Chiots  Malinois,225000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4318517_uploaded_image1_1690980921.jpg
Chiot  Berger Allemand,200000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg
Chiots Berger Allemand,250000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Berger Allemand femelle,250000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg
Chiot Caniche,140000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4546796_uploaded_image1_1705343315.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot,100,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot yorkie,300000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Caniche bichon,150000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg
Peugeot 308 2016,4300000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5044185_uploaded_image1_1731605581.jpg
Chiot Malinois,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4312162_uploaded_image1_1690550986.jpg
Chiots malinois,280000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot Malinois 4 mois,275,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4807147_uploaded_image2_1719173692.jpeg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Yorkshire toy femelle,750000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2466136_uploaded_image1_1595344530.jpg
Chien de garde,350000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045344_uploaded_image1_1731670002.jpg
Chiots Rottweiler pur sang,300000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2625896_uploaded_image1_1600107671.jpg
Chien chiwawa,300000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2533324_uploaded_image1_1597146281.jpg
Chiots métisse malinois et berger belge,120000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3899662_uploaded_image1_1664548562.jpg
Chien Berger Allemand,310000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4679501_uploaded_image1_1712415418.jpg
Chiots shih tzu,250000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg
Chiots berger allemand,250000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2541838_uploaded_image1_1597368796.jpg
Berger Malinois,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4910751_uploaded_image1_1724605148.jpg
Canish,250000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2551556_uploaded_image1_1597687758.jpg
Femelle pitbull,120000,"Bargny, Sénégal",https://images.coinafrique.com/thumb_2555833_uploaded_image1_1597802491.jpg
Chiots Spitz nain Pomeranian,1900000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg
Chiots Malinois pur sang,250000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_2567608_uploaded_image1_1598126860.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chien,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3287244_uploaded_image1_1629321508.jpg
Berger Malinois,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4910751_uploaded_image1_1724605148.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiots Berger Allemand,180000,"Bargny, Sénégal",https://images.coinafrique.com/thumb_2584995_uploaded_image1_1598726974.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chiots Pitbull,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots race Bichon,200000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2601423_uploaded_image1_1599252254.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot Husky,450000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3032898_uploaded_image1_1617282596.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien rottweiller,300000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2617202_uploaded_image1_1599768247.jpg
Berger allemand pure sang,160000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4779635_uploaded_image1_1717531124.jpg
Chiot rottweiller,250000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2619263_uploaded_image1_1599843271.jpg
Chiots Rottweiler pur sang,300000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2625896_uploaded_image1_1600107671.jpg
Caniche Bichon Maltais,465000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2629161_uploaded_image1_1600223864.jpg
Chiens,20000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2631397_uploaded_image1_1600290558.jpg
Chien Red Nose pur sang,90000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2636139_uploaded_image1_1600454579.jpg
Chiot pitbull,150000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2678151_uploaded_image1_1602079553.jpg
Chien malinois,180000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2683719_uploaded_image1_1602268170.jpg
Caniche pur sang,250000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2699954_uploaded_image1_1602880167.jpg
Chien Berger Allemand,200000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4716925_uploaded_image1_1714422080.jpg
Chien Berger Allemand,310000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4679501_uploaded_image1_1712415418.jpg
Chiots Pitbull,150,"Bargny, Sénégal",https://images.coinafrique.com/thumb_3085151_uploaded_image1_1619629177.jpg
Chiot dog allemand,500000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_2751446_uploaded_image1_1605004718.jpg
Chiots Bergers allemands pur sang - lignée de travail,250000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2762158_uploaded_image1_1605372613.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots Pitbull,160000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2784073_uploaded_image1_1606221523.jpg
Chiot Berger Allemand,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4943304_uploaded_image1_1726252041.jpg
Chiot mâle Pitbull,120000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3596319_uploaded_image1_1646581647.jpg
Chien Malinois,77963888,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4806294_uploaded_image1_1719106703.jpg
Rott royal 10,500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2812803_uploaded_image1_1607261227.jpg
Bichamon Maltais,250000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2823458_uploaded_image1_1607635304.jpg
Chiots Berger Allemand,125000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4220216_uploaded_image1_1684354056.jpg
Chiot mâle Berger allemand,100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2862580_uploaded_image1_1609508293.jpg
Chiots Berger Allemand,180000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671351_uploaded_image1_1651056079.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Berger Allemand,500000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg
Chiots,250000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4344699_uploaded_image1_1692644593.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots Bichons Spitz Royal,200000,"Saly, Sénégal",https://images.coinafrique.com/thumb_2890179_uploaded_image1_1610628933.jpg
Chiot mâle Pitbull,120000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3596319_uploaded_image1_1646581647.jpg
Chien Pitbull,400000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2898017_uploaded_image1_1610984631.jpg
Caniche,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Chiot berger allemand / husky,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2945713_uploaded_image1_1613048772.jpg
Chiot berger allemand / husky,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2945713_uploaded_image1_1613048772.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chien Pitbull mâle,110000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3532010_uploaded_image1_1642671792.jpg
Chiots bolognais,150000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2932610_uploaded_image1_1612474936.jpg
Berger femelle,160000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2939379_uploaded_image1_1612792768.jpg
Chiot berger allemand / husky,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2945713_uploaded_image1_1613048772.jpg
Chiots Malinois,300000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2946384_uploaded_image1_1613065281.jpg
Chien Berger Belge Malinois,250000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4687438_uploaded_image1_1712878170.jpg
Chien Pitbull femelle,300000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_2950286_uploaded_image1_1613256678.jpg
Chiots malinois,280000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg
Chiot Malinois 4 mois,275,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4807147_uploaded_image2_1719173692.jpeg
Chiot boerboel,300000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2957371_uploaded_image1_1613600366.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiots boerboels purebreed,400000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2974090_uploaded_image1_1614426862.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Chiot cane corso,450000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3005863_uploaded_image1_1615940766.jpg
Chien Bijon Malté,210000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012169_uploaded_image1_1616254703.jpg
Chiot couple teckel,200,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3023422_uploaded_image1_1616808652.jpg
Chiot pitbull,150,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_3025431_uploaded_image1_1616942140.jpg
Chiot Husky,450000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3032898_uploaded_image1_1617282596.jpg
Chien Berger Allemand,310000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4679501_uploaded_image1_1712415418.jpg
Chiot femelle Yorkshire,400000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3045523_uploaded_image1_1617806957.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot Boerboel,450000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot Berger Allemand,150000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4884833_uploaded_image1_1723151589.jpg
